COLLEGES AND UNIVERSITIES WITHIN FL-25 CONGRESSIONAL DISTRICT,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Institution Name,Address,City,State,Zip Code,Congressional District,Distance from FL-25,Institution Type,Public/Private,Enrollment,Has Quad/Walkable Areas,Voter Drive Suitability,Contact Phone,Website,Notes
Nova Southeastern University,3301 College Avenue,Davie,FL,33314,FL-25,Within District,4-Year University,Private,"25,000",Yes,High,(954) 262-7300,nova.edu,"314-acre flagship campus; resort-like with open courtyard spaces, outdoor pool areas, Don Taft University Center"
Broward College - Central Campus,3501 SW Davie Road,Davie,FL,33314,FL-25,Within District,Community College,Public,"22,000",Yes,High,(954) 201-7350,broward.edu,Main campus with Buehler Planetarium; outdoor graduation lawn; library courtyard; multiple gathering areas
Broward College - South Campus,7200 Pines Boulevard,Pembroke Pines,FL,33024,FL-25,Within District,Community College,Public,"15,000",Yes,High,(954) 201-6000,broward.edu,Aviation Institute campus; regional library; outdoor gathering areas and student commons spaces
Broward College - Weston Center,4205 Bonaventure Boulevard,Weston,FL,33332,FL-25,Within District,Community College,Public,"1,500",Limited,Low,(954) 201-2400,broward.edu,Satellite center location with limited outdoor campus space for gatherings
Broward College - Miramar West Center,1930 SW 145th Avenue,Miramar,FL,33027,FL-25,Within District,Community College,Public,800,Limited,Low,(954) 201-8900,broward.edu,Small satellite center with minimal outdoor gathering space
Keiser University - Pembroke Pines Campus,1601 SW 104th Avenue,Pembroke Pines,FL,33025,FL-25,Within District,4-Year University,Private,"1,200",Yes,Medium,(954) 776-4456,keiseruniversity.edu,Career-focused private university with outdoor student gathering areas
,,,,,,,,,,,,,,
COLLEGES AND UNIVERSITIES NEAR FL-25 (WITHIN 15 MILES),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Institution Name,Address,City,State,Zip Code,Congressional District,Distance from FL-25,Institution Type,Public/Private,Enrollment,Has Quad/Walkable Areas,Voter Drive Suitability,Contact Phone,Website,Notes
Florida International University,11200 SW 8th Street,Miami,FL,33199,FL-26,10 miles,4-Year University,Public,"53,953",Yes,High,(305) 348-2000,fiu.edu,Large flagship campus with multiple quads and outdoor gathering areas throughout campus
Florida Memorial University,15800 NW 42nd Avenue,Miami Gardens,FL,33054,FL-24,8 miles,4-Year University,Private,"1,214",Yes,Medium,(305) 626-3600,fmu.edu,HBCU on 44-acre campus; close-knit community with green spaces and outdoor areas
Florida Atlantic University,777 Glades Road,Boca Raton,FL,33431,FL-23,15 miles,4-Year University,Public,"29,000",Yes,High,(561) 297-3000,fau.edu,"850-acre main campus near Atlantic Ocean; suite-style housing for 4,500+ students"
University of Miami,1320 South Dixie Highway,Coral Gables,FL,33146,FL-27,12 miles,4-Year University,Private,"17,000",Yes,High,(305) 284-2211,miami.edu,Beautiful 230-acre campus with historic architecture; multiple courtyards and outdoor spaces
Lynn University,3601 N Military Trail,Boca Raton,FL,33431,FL-23,15 miles,4-Year University,Private,"2,824",Yes,High,(561) 237-7000,lynn.edu,115-acre lush tropical campus; Christine's Park with amphitheater; University Center with outdoor patios
Broward College - North Campus,1000 Coconut Creek Boulevard,Coconut Creek,FL,33066,FL-23,12 miles,Community College,Public,"8,500",Yes,Medium,(954) 201-2400,broward.edu,Health science programs; Citrix IT Academy; Junior Achievement Enterprise Village campus
Miami Dade College - North Campus,11380 NW 27th Avenue,Miami,FL,33167,FL-24,15 miles,Community College,Public,"45,000",Yes,High,(305) 237-1000,mdc.edu,Large community college campus with multiple outdoor gathering areas and student commons
